Neuron_ID,Input_current_nA,Firing_rate_Hz
1,0.3905,75
2,0.468,79
3,0.3078,68
4,0.5547,84
5,0.4979,82
6,0.4281,75
7,0.4266,78
8,0.4728,80
9,0.4299,76
10,0.4331,76
11,0.504,81
12,0.4886,82
13,0.4452,75
14,0.4436,77
15,0.4621,78
16,0.4039,74
17,0.4197,75
18,0.4911,77
19,0.4402,75
20,0.3469,68
21,0.4142,74
22,0.4992,79
23,0.4326,76
24,0.4388,78
25,0.4981,80
26,0.5868,84
27,0.3965,73
28,0.5511,81
29,0.3577,72
30,0.4631,78
31,0.3623,75
32,0.5514,86
33,0.5125,84
34,0.5353,86
35,0.3836,71
36,0.5013,81
37,0.4111,77
38,0.4157,77
39,0.488,84
40,0.5158,86
41,0.4653,80
42,0.4029,76
43,0.3881,72
44,0.5583,81
45,0.4945,81
46,0.504,80
47,0.6138,83
48,0.3888,74
49,0.642,88
50,0.6863,91
51,0.5714,84
52,0.512,80
53,0.4002,75
54,0.5246,82
55,0.4168,74
56,0.4484,79
57,0.4282,80
58,0.4713,81
59,0.5466,80
60,0.4083,75
61,0.3761,69
62,0.3748,69
63,0.3774,74
64,0.3427,71
65,0.3815,72
66,0.547,79
67,0.4055,72
68,0.4693,79
69,0.3587,72
70,0.4627,79
71,0.3194,72
72,0.3976,73
73,0.6191,87
74,0.4063,75
75,0.534,81
76,0.4841,79
77,0.4385,79
78,0.4011,73
79,0.5465,85
80,0.4367,80
81,0.5646,83
82,0.3961,75
83,0.4543,75
84,0.4849,84
85,0.478,81
86,0.3575,72
87,0.4002,75
88,0.4353,78
89,0.386,73
90,0.5008,81
91,0.4941,78
92,0.3032,69
93,0.3146,68
94,0.3539,73
95,0.4588,78
96,0.6025,86
97,0.4213,82
98,0.4688,81
99,0.3703,74
100,0.3715,73
101,0.3032,66
102,0.4479,79
103,0.521,84
104,0.4232,76
105,0.5547,86
106,0.4648,78
107,0.4473,73
108,0.4888,79
109,0.4866,78
110,0.5361,81
111,0.3899,75
112,0.2784,63
113,0.4586,78
114,0.4041,75
115,0.448,76
116,0.5748,82
117,0.3673,72
118,0.5074,83
119,0.5209,80
120,0.4846,77
121,0.5339,82
122,0.4156,77
123,0.3989,73
124,0.5279,81
125,0.504,80
126,0.5543,81
127,0.4659,78
128,0.5718,83
129,0.4288,79
130,0.3705,72
131,0.2972,68
132,0.3674,73
133,0.5114,79
134,0.3401,68
135,0.4161,75
136,0.608,87
137,0.5135,80
138,0.5843,83
139,0.3756,67
140,0.2655,63
141,0.5637,84
142,0.3437,72
143,0.4568,79
144,0.4663,77
145,0.3788,73
146,0.5664,86
147,0.5662,84
148,0.4914,75
149,0.4478,79
150,0.4644,76
151,0.3678,75
152,0.4321,79
153,0.4421,79
154,0.3861,76
155,0.5137,85
156,0.343,69
157,0.416,77
158,0.281,66
159,0.4873,78
160,0.5057,85
161,0.4966,79
162,0.6689,87
163,0.5205,82
164,0.3794,75
165,0.6498,86
166,0.381,72
167,0.5092,82
168,0.5057,78
169,0.384,72
170,0.5547,81
171,0.4766,78
172,0.4928,80
173,0.3993,78
174,0.5477,85
175,0.3854,74
176,0.3166,69
177,0.5569,85
178,0.418,77
179,0.4533,80
180,0.5942,88
181,0.5352,80
182,0.4975,75
183,0.5302,82
184,0.3954,74
185,0.5065,82
186,0.5332,81
187,0.5067,81
188,0.4347,78
189,0.4918,81
190,0.4586,81
191,0.4223,72
192,0.5084,78
193,0.4699,82
194,0.4653,79
195,0.3387,72
196,0.3406,70
197,0.4778,78
198,0.4557,78
199,0.4604,76
200,0.4625,75
