Cell_ID,Filename,Group,Region,Marker_status,Nucleus_area_um2,AF488_intensity,AF647_intensity,DAPI_coverage_pct
1,CON_CTX_01.czi,CON,Cortex,Ki67+ only,33.7,521.0,2199.0,97.7
2,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),36.7,902.0,656.0,94.5
3,CON_CTX_01.czi,CON,Cortex,Olig2+ only,40.9,2729.0,1059.0,96.7
4,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),31.9,993.0,1003.0,92.9
5,CON_CTX_01.czi,CON,Cortex,Ki67+ only,34.5,847.0,1503.0,93.8
6,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),35.8,1066.0,1007.0,83.0
7,CON_CTX_01.czi,CON,Cortex,Olig2+ only,39.8,3092.0,1500.0,89.8
8,CON_CTX_01.czi,CON,Cortex,Olig2+ only,50.2,3859.0,549.0,94.5
9,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),36.9,1799.0,1182.0,97.8
10,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),36.0,604.0,512.0,94.2
11,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),50.9,2168.0,555.0,94.7
12,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),39.0,937.0,1024.0,94.4
13,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),39.0,1397.0,818.0,98.3
14,CON_CTX_01.czi,CON,Cortex,Olig2+ only,38.5,4349.0,582.0,72.4
15,CON_CTX_01.czi,CON,Cortex,Ki67+ only,45.1,2188.0,2369.0,93.4
16,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),33.6,725.0,1082.0,94.6
17,CON_CTX_01.czi,CON,Cortex,Olig2+ only,29.9,2888.0,523.0,86.4
18,CON_CTX_01.czi,CON,Cortex,Ki67+ only,35.8,1452.0,2030.0,96.0
19,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),43.1,1400.0,1069.0,92.4
20,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),37.6,1967.0,803.0,95.6
21,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),32.7,2163.0,1049.0,84.8
22,CON_CTX_01.czi,CON,Cortex,Ki67+ only,38.2,1822.0,1526.0,93.1
23,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),45.1,1441.0,928.0,91.0
24,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),35.7,1132.0,980.0,93.2
25,CON_CTX_01.czi,CON,Cortex,Negative (DAPI only),31.6,1924.0,1472.0,86.0
26,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),45.4,821.0,839.0,78.1
27,CON_CTX_02.czi,CON,Cortex,Olig2+ only,40.2,4010.0,907.0,81.8
28,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),40.8,591.0,810.0,96.0
29,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),45.4,1119.0,841.0,66.4
30,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),47.6,992.0,885.0,72.6
31,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),35.0,2195.0,520.0,87.8
32,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),33.2,1435.0,528.0,92.7
33,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),43.0,2393.0,379.0,93.0
34,CON_CTX_02.czi,CON,Cortex,Ki67+ only,36.6,1035.0,2221.0,96.1
35,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),30.5,1443.0,641.0,92.7
36,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),32.2,1202.0,1025.0,96.9
37,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),37.4,1728.0,934.0,92.5
38,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),54.9,2055.0,1481.0,95.1
39,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),45.8,1397.0,1244.0,77.6
40,CON_CTX_02.czi,CON,Cortex,Ki67+ only,33.2,1762.0,2625.0,95.5
41,CON_CTX_02.czi,CON,Cortex,Olig2+ only,41.5,3198.0,746.0,95.9
42,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),50.5,903.0,1273.0,95.5
43,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),38.0,2186.0,304.0,82.6
44,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),36.9,745.0,1066.0,93.7
45,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),39.7,1655.0,527.0,85.2
46,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),40.2,2021.0,544.0,93.2
47,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),41.6,988.0,567.0,87.1
48,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),32.1,781.0,494.0,91.8
49,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),42.2,1187.0,942.0,86.2
50,CON_CTX_02.czi,CON,Cortex,Negative (DAPI only),36.9,1751.0,1153.0,91.9
51,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),40.3,1576.0,1442.0,74.5
52,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),27.0,656.0,737.0,86.4
53,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),28.2,924.0,1030.0,92.8
54,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),40.8,662.0,489.0,75.6
55,CON_CTX_03.czi,CON,Cortex,Olig2+ only,45.8,3059.0,1355.0,94.5
56,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),29.7,1883.0,1262.0,97.2
57,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),34.3,1567.0,485.0,85.1
58,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),31.0,956.0,366.0,90.9
59,CON_CTX_03.czi,CON,Cortex,Olig2+ only,31.9,4647.0,662.0,94.5
60,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),38.7,1642.0,572.0,94.6
61,CON_CTX_03.czi,CON,Cortex,Ki67+ only,33.8,769.0,2305.0,98.3
62,CON_CTX_03.czi,CON,Cortex,Olig2+ only,36.5,2554.0,1253.0,94.8
63,CON_CTX_03.czi,CON,Cortex,Ki67+ only,32.4,1391.0,1660.0,93.8
64,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),37.5,2195.0,828.0,98.3
65,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),38.6,371.0,622.0,95.1
66,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),40.8,1382.0,928.0,82.1
67,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),51.4,777.0,1333.0,84.6
68,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),41.1,898.0,572.0,84.1
69,CON_CTX_03.czi,CON,Cortex,Ki67+ only,34.9,693.0,1820.0,95.5
70,CON_CTX_03.czi,CON,Cortex,Ki67+ only,43.9,2404.0,2171.0,57.8
71,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),44.2,2223.0,948.0,67.3
72,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),32.6,2094.0,460.0,95.7
73,CON_CTX_03.czi,CON,Cortex,Ki67+ only,22.4,1909.0,3097.0,97.4
74,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),43.8,1271.0,1361.0,87.9
75,CON_CTX_03.czi,CON,Cortex,Negative (DAPI only),28.2,2030.0,792.0,84.0
76,CON_CTX_04.czi,CON,Cortex,Negative (DAPI only),42.5,1279.0,649.0,96.1
77,CON_CTX_04.czi,CON,Cortex,Negative (DAPI only),47.1,1965.0,1071.0,93.2
78,CON_CTX_04.czi,CON,Cortex,Negative (DAPI only),39.4,1835.0,1480.0,84.3
79,CON_CTX_04.czi,CON,Cortex,Olig2+ only,41.7,7809.0,1275.0,93.7
80,CON_CTX_04.czi,CON,Cortex,Negative (DAPI only),30.6,582.0,1268.0,93.2
81,CON_CTX_04.czi,CON,Cortex,Olig2+ only,34.9,2981.0,834.0,97.3
82,CON_CTX_04.czi,CON,Cortex,Negative (DAPI only),45.0,2001.0,616.0,98.4
83,CON_CTX_04.czi,CON,Cortex,Ki67+ only,38.3,1531.0,1572.0,91.3
84,CON_CTX_04.czi,CON,Cortex,Ki67+ only,36.4,1230.0,1854.0,89.1
85,CON_CTX_04.czi,CON,Cortex,Negative (DAPI only),36.7,1400.0,1261.0,97.1
86,CON_CTX_04.czi,CON,Cortex,Negative (DAPI only),33.5,299.0,389.0,95.0
87,CON_CTX_04.czi,CON,Cortex,Negative (DAPI only),35.0,1017.0,469.0,98.4
88,CON_CTX_04.czi,CON,Cortex,Negative (DAPI only),48.7,1577.0,793.0,94.7
89,CON_CTX_04.czi,CON,Cortex,Olig2+ only,49.1,2923.0,957.0,95.0
90,CON_CTX_04.czi,CON,Cortex,Negative (DAPI only),48.2,1491.0,451.0,94.4
91,CON_CTX_04.czi,CON,Cortex,Olig2+ only,33.4,3434.0,626.0,54.0
92,CON_CTX_04.czi,CON,Cortex,Olig2+ Ki67+,35.6,3270.0,1587.0,90.3
93,CON_CTX_04.czi,CON,Cortex,Negative (DAPI only),49.9,959.0,1099.0,88.2
94,CON_CTX_04.czi,CON,Cortex,Olig2+ Ki67+,38.6,3145.0,2887.0,88.6
95,CON_CTX_04.czi,CON,Cortex,Negative (DAPI only),38.6,1451.0,474.0,91.8
96,CON_CTX_04.czi,CON,Cortex,Olig2+ only,39.2,2978.0,448.0,88.0
97,CON_CTX_04.czi,CON,Cortex,Ki67+ only,36.7,647.0,2240.0,96.2
98,CON_CTX_04.czi,CON,Cortex,Negative (DAPI only),27.9,475.0,1484.0,73.1
99,CON_CTX_04.czi,CON,Cortex,Olig2+ only,40.9,2814.0,373.0,97.0
100,CON_CTX_04.czi,CON,Cortex,Olig2+ only,39.4,3547.0,935.0,95.7
101,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),35.4,901.0,869.0,90.7
102,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),31.3,1330.0,632.0,89.5
103,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),31.7,1586.0,722.0,91.2
104,CON_CTX_05.czi,CON,Cortex,Ki67+ only,37.2,1121.0,1584.0,91.3
105,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),34.9,2138.0,1303.0,98.3
106,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),36.5,671.0,519.0,92.1
107,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),31.3,922.0,1049.0,96.0
108,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),42.5,1296.0,1201.0,92.5
109,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),37.7,1424.0,1089.0,96.6
110,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),38.9,617.0,1105.0,93.7
111,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),42.9,1361.0,428.0,79.6
112,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),31.1,2145.0,978.0,92.3
113,CON_CTX_05.czi,CON,Cortex,Olig2+ only,47.2,2954.0,1245.0,97.1
114,CON_CTX_05.czi,CON,Cortex,Negative (DAPI only),28.1,1538.0,779.0,90.6
