Filename,Group,Animal,NeuN_Cells,BrdU_Cells,Colocalized_Cells,Image_Area_mm2,NeuN_cells_per_mm2,BrdU_cells_per_mm2,Colocalized_cells_per_mm2,Colocalization_ratio_pct
CON_01_img1.czi,CON,CON_01,14,8,3,0.0901,155.4,88.8,33.3,21.4
CON_01_img2.czi,CON,CON_01,9,7,3,0.0888,101.4,78.8,33.8,33.3
CON_01_img3.czi,CON,CON_01,6,9,2,0.093,64.5,96.8,21.5,33.3
CON_01_img4.czi,CON,CON_01,10,5,3,0.0927,107.9,53.9,32.4,30.0
CON_02_img1.czi,CON,CON_02,10,6,4,0.0933,107.2,64.3,42.9,40.0
CON_02_img2.czi,CON,CON_02,7,7,2,0.0865,80.9,80.9,23.1,28.6
CON_02_img3.czi,CON,CON_02,9,5,2,0.0823,109.4,60.8,24.3,22.2
CON_02_img4.czi,CON,CON_02,11,8,3,0.084,131.0,95.2,35.7,27.3
CON_03_img1.czi,CON,CON_03,11,7,3,0.087,126.4,80.5,34.5,27.3
CON_03_img2.czi,CON,CON_03,13,6,3,0.0922,141.0,65.1,32.5,23.1
CON_03_img3.czi,CON,CON_03,11,8,2,0.0914,120.4,87.5,21.9,18.2
CON_03_img4.czi,CON,CON_03,8,3,3,0.0874,91.5,34.3,34.3,37.5
CON_04_img1.czi,CON,CON_04,9,9,3,0.0921,97.7,97.7,32.6,33.3
CON_04_img2.czi,CON,CON_04,11,8,2,0.0925,118.9,86.5,21.6,18.2
CON_04_img3.czi,CON,CON_04,12,3,3,0.0925,129.7,32.4,32.4,25.0
CON_04_img4.czi,CON,CON_04,12,5,4,0.089,134.8,56.2,44.9,33.3
CON_05_img1.czi,CON,CON_05,8,7,2,0.0914,87.5,76.6,21.9,25.0
CON_05_img2.czi,CON,CON_05,9,8,3,0.092,97.8,87.0,32.6,33.3
CON_05_img3.czi,CON,CON_05,12,9,6,0.0893,134.4,100.8,67.2,50.0
CON_05_img4.czi,CON,CON_05,13,7,4,0.0837,155.3,83.6,47.8,30.8
DRUG_01_img1.czi,DRUG,DRUG_01,14,8,8,0.086,162.8,93.0,93.0,57.1
DRUG_01_img2.czi,DRUG,DRUG_01,7,10,3,0.0952,73.5,105.0,31.5,42.9
DRUG_01_img3.czi,DRUG,DRUG_01,14,15,5,0.091,153.8,164.8,54.9,35.7
DRUG_01_img4.czi,DRUG,DRUG_01,12,14,8,0.0877,136.8,159.6,91.2,66.7
DRUG_02_img1.czi,DRUG,DRUG_02,12,10,7,0.087,137.9,114.9,80.5,58.3
DRUG_02_img2.czi,DRUG,DRUG_02,12,11,7,0.0871,137.8,126.3,80.4,58.3
DRUG_02_img3.czi,DRUG,DRUG_02,8,10,6,0.0891,89.8,112.2,67.3,75.0
DRUG_02_img4.czi,DRUG,DRUG_02,7,13,5,0.0892,78.5,145.7,56.1,71.4
DRUG_03_img1.czi,DRUG,DRUG_03,11,10,5,0.0984,111.8,101.6,50.8,45.5
DRUG_03_img2.czi,DRUG,DRUG_03,17,9,9,0.0953,178.4,94.4,94.4,52.9
DRUG_03_img3.czi,DRUG,DRUG_03,9,10,5,0.0924,97.4,108.2,54.1,55.6
DRUG_03_img4.czi,DRUG,DRUG_03,13,11,9,0.0908,143.2,121.1,99.1,69.2
DRUG_04_img1.czi,DRUG,DRUG_04,12,6,5,0.0883,135.9,68.0,56.6,41.7
DRUG_04_img2.czi,DRUG,DRUG_04,9,12,6,0.0932,96.6,128.8,64.4,66.7
DRUG_04_img3.czi,DRUG,DRUG_04,13,13,8,0.0953,136.4,136.4,83.9,61.5
DRUG_04_img4.czi,DRUG,DRUG_04,9,10,4,0.0872,103.2,114.7,45.9,44.4
DRUG_05_img1.czi,DRUG,DRUG_05,11,11,6,0.0878,125.3,125.3,68.3,54.5
DRUG_05_img2.czi,DRUG,DRUG_05,11,11,8,0.0823,133.7,133.7,97.2,72.7
DRUG_05_img3.czi,DRUG,DRUG_05,9,9,8,0.0923,97.5,97.5,86.7,88.9
DRUG_05_img4.czi,DRUG,DRUG_05,15,15,7,0.093,161.3,161.3,75.3,46.7
