Filename,Group,Olig2_per_mm2,GSTpi_per_mm2,Colocalized_per_mm2
CON_01.czi,CON,215.9,57.4,46.76
CON_02.czi,CON,205.0,21.7,18.31
CON_03.czi,CON,246.9,42.5,35.25
CON_04.czi,CON,216.6,24.7,19.82
CON_05.czi,CON,210.6,25.7,21.05
CON_06.czi,CON,212.3,44.6,37.09
CON_07.czi,CON,231.7,50.2,41.69
CON_08.czi,CON,228.0,45.4,39.58
CON_09.czi,CON,229.1,38.2,35.18
CON_10.czi,CON,229.5,45.6,38.79
CON_11.czi,CON,267.1,37.7,33.41
CON_12.czi,CON,211.1,40.6,34.73
CON_13.czi,CON,208.7,46.8,36.91
CON_14.czi,CON,202.1,50.8,44.9
CON_15.czi,CON,233.6,39.2,35.89
CON_16.czi,CON,244.8,32.5,28.43
CON_17.czi,CON,217.5,28.8,25.18
CON_18.czi,CON,201.5,46.4,37.87
CON_19.czi,CON,201.9,26.7,22.17
CON_20.czi,CON,234.3,29.7,23.75
DRUG_01.czi,DRUG,226.7,58.5,49.78
DRUG_02.czi,DRUG,197.1,67.6,53.5
DRUG_03.czi,DRUG,236.5,37.9,30.75
DRUG_04.czi,DRUG,240.7,63.7,55.47
DRUG_05.czi,DRUG,177.1,39.7,31.47
DRUG_06.czi,DRUG,191.4,77.9,61.99
DRUG_07.czi,DRUG,222.8,70.5,60.46
DRUG_08.czi,DRUG,213.0,63.7,55.75
DRUG_09.czi,DRUG,219.6,63.4,51.52
DRUG_10.czi,DRUG,201.2,61.9,55.77
DRUG_11.czi,DRUG,239.3,59.1,52.62
DRUG_12.czi,DRUG,237.1,58.1,53.68
DRUG_13.czi,DRUG,221.5,74.7,59.6
DRUG_14.czi,DRUG,244.8,80.0,65.24
DRUG_15.czi,DRUG,230.3,74.6,60.38
DRUG_16.czi,DRUG,201.1,75.0,59.91
DRUG_17.czi,DRUG,228.1,63.7,53.97
DRUG_18.czi,DRUG,198.9,65.7,54.5
DRUG_19.czi,DRUG,239.3,65.0,58.5
DRUG_20.czi,DRUG,218.9,63.2,57.21
