Filename,Group,Olig2_per_mm2,Ki67_per_mm2,Colocalized_per_mm2
CON_01.czi,CON,31.4,9.7,7.25
CON_02.czi,CON,36.7,14.1,8.47
CON_03.czi,CON,37.1,18.5,9.27
CON_04.czi,CON,43.8,21.9,12.17
CON_05.czi,CON,17.3,9.9,4.95
CON_06.czi,CON,41.7,13.9,9.27
CON_07.czi,CON,32.1,9.2,6.89
CON_08.czi,CON,26.0,9.5,7.09
CON_09.czi,CON,27.5,13.8,6.88
CON_10.czi,CON,47.4,15.8,13.16
CON_11.czi,CON,56.7,19.8,14.17
CON_12.czi,CON,31.2,16.8,9.59
CON_13.czi,CON,36.5,17.0,9.72
CON_14.czi,CON,24.5,13.3,6.67
CON_15.czi,CON,35.8,11.9,9.56
CON_16.czi,CON,31.0,14.3,7.16
CON_17.czi,CON,44.0,22.0,11.0
CON_18.czi,CON,39.8,14.9,9.94
CON_19.czi,CON,32.6,15.1,7.53
CON_20.czi,CON,76.7,24.8,15.79
DRUG_01.czi,DRUG,178.5,75.2,46.97
DRUG_02.czi,DRUG,62.1,22.3,12.41
DRUG_03.czi,DRUG,38.3,15.3,10.22
DRUG_04.czi,DRUG,114.0,33.2,23.75
DRUG_05.czi,DRUG,113.4,49.8,33.2
DRUG_06.czi,DRUG,173.9,70.0,40.66
DRUG_07.czi,DRUG,173.5,62.6,36.98
DRUG_08.czi,DRUG,42.4,17.9,11.16
DRUG_09.czi,DRUG,128.8,49.3,27.4
DRUG_10.czi,DRUG,68.3,20.5,13.67
DRUG_11.czi,DRUG,32.7,12.6,7.54
DRUG_12.czi,DRUG,132.5,37.2,27.89
DRUG_13.czi,DRUG,42.5,21.2,10.62
DRUG_14.czi,DRUG,33.0,20.3,10.14
DRUG_15.czi,DRUG,90.4,45.2,22.59
DRUG_16.czi,DRUG,63.2,29.2,19.45
DRUG_17.czi,DRUG,64.0,33.2,18.96
DRUG_18.czi,DRUG,70.5,35.2,18.79
DRUG_19.czi,DRUG,54.2,15.8,11.29
DRUG_20.czi,DRUG,119.8,32.3,25.34
