Neuron_ID,Input_current_nA,Firing_rate_Hz
1,0.1923,49
2,0.2718,58
3,0.3013,61
4,0.3624,79
5,0.2389,51
6,0.2939,65
7,0.2878,65
8,0.2897,59
9,0.2611,60
10,0.3167,70
11,0.3128,68
12,0.3128,67
13,0.308,67
14,0.2898,64
15,0.1698,44
16,0.3004,65
17,0.3774,79
18,0.1681,44
19,0.3952,81
20,0.2293,53
21,0.2473,54
22,0.3767,76
23,0.308,66
24,0.2735,63
25,0.2268,55
26,0.2593,59
27,0.3742,78
28,0.3244,64
29,0.3167,69
30,0.221,52
31,0.3175,66
32,0.2063,51
33,0.3528,74
34,0.3096,66
35,0.3451,72
36,0.3657,73
37,0.1667,42
38,0.3007,64
39,0.2832,64
40,0.2844,67
41,0.2511,55
42,0.3309,68
43,0.2521,58
44,0.3285,71
45,0.2522,56
46,0.2345,53
47,0.2282,53
48,0.2079,52
49,0.2823,64
50,0.3297,70
51,0.3411,70
52,0.2735,61
53,0.2454,56
54,0.4214,85
55,0.2769,62
56,0.3589,73
57,0.3894,77
58,0.2751,61
59,0.2982,68
60,0.299,61
61,0.2745,60
62,0.254,58
63,0.3268,69
64,0.3732,76
65,0.4251,87
66,0.2782,62
67,0.2839,65
68,0.252,56
69,0.1997,48
70,0.3601,79
71,0.3061,68
72,0.3807,76
73,0.3659,75
74,0.3222,68
75,0.3107,65
76,0.2691,62
77,0.3449,72
78,0.3702,74
79,0.3339,71
80,0.2141,56
81,0.3985,81
82,0.2406,58
83,0.3564,71
84,0.311,64
85,0.2936,64
86,0.3783,80
87,0.3959,84
88,0.3166,69
89,0.401,82
90,0.3785,74
91,0.2723,61
92,0.3825,73
93,0.3224,68
94,0.2091,51
95,0.2945,65
96,0.3464,73
97,0.2002,50
98,0.3426,73
99,0.3446,70
100,0.3529,71
101,0.3151,64
102,0.3384,69
103,0.2934,66
104,0.2306,52
105,0.2448,54
106,0.2567,57
107,0.1963,51
108,0.3344,74
109,0.2365,55
110,0.3679,73
111,0.337,72
112,0.2873,61
113,0.319,68
114,0.2309,58
115,0.2591,60
116,0.4165,81
117,0.3029,68
118,0.297,64
119,0.2828,62
120,0.3537,75
121,0.3025,67
122,0.4079,83
123,0.2821,62
124,0.3874,78
125,0.2618,60
126,0.2874,66
127,0.2488,56
128,0.3093,67
129,0.3544,74
130,0.2192,54
131,0.2467,57
132,0.2659,61
133,0.3735,75
134,0.3063,67
135,0.2473,55
136,0.2914,62
137,0.386,79
138,0.3092,66
139,0.2242,51
140,0.3633,79
141,0.2488,57
142,0.3652,73
143,0.3123,70
144,0.3798,78
145,0.271,60
146,0.3118,67
147,0.3206,70
148,0.4221,85
149,0.2427,56
150,0.2275,55
151,0.1681,42
152,0.3701,76
153,0.2295,55
154,0.307,64
155,0.3276,68
156,0.3156,67
157,0.3169,68
158,0.2685,64
159,0.2986,64
160,0.2492,56
161,0.3452,77
162,0.2659,60
163,0.1913,48
164,0.1784,46
165,0.3655,78
166,0.3742,75
167,0.3664,73
168,0.3505,72
169,0.3949,82
170,0.4003,81
171,0.2755,59
172,0.2852,63
173,0.3423,74
174,0.247,56
175,0.3026,63
176,0.3866,76
177,0.2858,62
178,0.3019,63
179,0.2829,62
180,0.3928,80
181,0.3398,74
182,0.3058,67
183,0.2779,61
184,0.2458,53
185,0.4349,86
186,0.2927,63
187,0.2715,60
188,0.2098,47
189,0.3828,82
190,0.3161,67
191,0.2348,54
192,0.4495,91
193,0.3444,71
194,0.3389,71
195,0.322,67
196,0.4378,89
197,0.309,66
198,0.3279,70
199,0.305,66
200,0.245,58
