Group,Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100
CONTROL,0.0,1058.58,979.37,1259.74,958.46,978.13,1066.37,858.95,871.42,1067.8,1164.19,978.57,921.59,993.88,946.46,1081.4,1214.63,940.28,950.81,1008.9,714.32,877.27,1023.46,1025.47,1055.9,1170.38,996.56,983.83,1052.65,1068.12,964.17,1011.37,982.28,882.29,1165.49,772.88,1115.14,929.23,966.92,1195.24,940.33,1057.92,930.95,1043.79,975.32,969.83,1084.57,1036.85,1211.57,930.62,1108.15,1139.09,916.09,1163.23,1149.74,1072.27,1045.76,934.94,1026.23,1000.81,1066.52,961.57,925.24,971.59,1004.0,834.19,1090.98,998.93,1069.76,819.22,987.41,788.4,961.4,1111.82,930.64,1111.05,869.09,1058.49,1186.95,1080.95,924.46,1044.92,1122.42,1271.83,860.73,1145.9,1075.31,1058.1,1094.14,1020.47,1042.27,1011.37,1046.96,1191.81,1063.47,1114.95,1090.43,883.34,956.37,1221.08,1015.75
CONTROL,0.1,1048.35,963.44,1261.02,952.62,950.94,1102.25,877.99,863.48,1090.91,1171.71,958.47,920.68,1014.96,928.83,1058.99,1257.53,934.64,976.99,980.85,715.91,892.06,1056.97,1038.63,1041.71,1135.71,1002.55,997.43,1067.89,1075.24,944.43,1009.2,976.72,899.39,1148.57,774.9,1161.13,951.58,1003.5,1197.16,949.11,1024.97,917.02,1004.41,983.29,914.86,1091.44,1081.22,1197.02,905.31,1140.11,1057.88,991.79,1183.4,1109.9,1120.55,1062.04,925.91,999.06,984.09,1013.13,933.07,891.47,909.56,974.4,825.85,1070.01,985.31,1074.94,856.68,949.36,798.0,1002.64,1117.57,961.27,1112.82,805.97,1046.22,1208.46,1068.66,961.73,1068.86,1129.17,1239.74,855.69,1154.26,1090.77,1053.48,1087.74,1009.46,1063.68,979.65,1087.34,1244.02,1123.72,1140.63,1065.35,874.62,936.01,1245.97,1040.86
CONTROL,0.2,1014.33,1129.98,1231.84,975.58,952.98,1101.32,899.9,864.03,1104.17,1173.42,950.77,909.25,1055.67,924.3,1052.92,1195.99,945.92,973.33,982.9,701.99,861.32,1026.95,1045.46,1042.12,1187.37,1008.64,956.07,1041.56,1059.23,981.94,1058.46,980.17,884.19,1138.54,813.67,1098.69,933.97,979.84,1190.44,944.26,1030.65,971.67,1017.27,986.86,949.71,1088.41,1059.21,1196.79,946.38,1116.28,1061.42,974.47,1228.05,1185.33,1030.31,1028.51,916.68,982.72,998.61,1028.79,941.19,887.83,932.58,1013.62,830.84,1059.79,1000.87,997.91,862.42,988.68,813.56,945.75,1089.19,960.0,1125.36,837.24,1027.93,1158.42,1126.88,945.16,1060.44,1127.21,1264.9,875.26,1170.77,1067.69,1000.45,1098.47,991.36,1055.83,997.39,1090.43,1235.45,1101.81,1141.15,1044.89,855.07,908.19,1243.57,1018.67
CONTROL,0.3,1060.33,1126.92,1214.24,1095.84,981.74,1083.72,844.23,851.17,1072.43,1129.75,960.41,891.19,1010.72,936.66,1042.51,1231.2,959.54,988.69,969.19,712.27,865.29,1003.69,1034.85,1069.77,1185.9,977.63,984.0,1049.43,1085.41,966.68,1019.07,1004.15,903.37,1189.06,784.71,1146.2,929.8,976.63,1193.64,967.13,985.31,959.26,1090.43,992.63,942.41,1062.78,1085.48,1215.35,922.16,1122.38,1093.41,1000.13,1172.08,1156.86,1104.08,978.08,950.43,1057.21,984.81,996.88,975.73,901.79,921.8,989.69,811.73,1055.31,977.16,1067.47,863.72,931.36,787.17,938.33,1061.91,913.09,1120.22,838.93,1081.5,1189.14,1090.85,911.47,1027.87,1090.65,1244.22,855.66,1155.02,1062.88,1038.61,1075.75,1061.84,1011.13,1029.57,1123.66,1265.46,1112.02,1155.66,1062.3,874.36,925.03,1268.89,1001.63
CONTROL,0.4,1050.77,1130.5,1232.13,1153.59,933.65,1105.56,880.56,904.23,1088.7,1129.04,948.79,900.99,982.98,937.4,1060.99,1240.68,960.61,993.37,991.18,701.32,878.94,1059.1,995.23,1055.23,1219.64,1021.25,942.86,1054.12,1072.79,937.44,1034.34,976.12,882.84,1175.98,762.07,1180.03,960.37,960.13,1168.96,941.4,1021.52,952.72,1011.92,1003.43,951.95,1035.18,1096.33,1233.62,931.51,1189.19,1055.21,968.79,1137.55,1152.65,1091.05,1046.85,936.53,1004.05,1008.58,1030.55,974.9,911.76,958.24,986.96,818.64,1093.46,976.52,1063.69,864.77,997.47,842.9,961.38,1065.72,943.91,1103.89,819.15,1078.54,1155.92,1053.96,925.07,1108.82,1103.88,1241.58,896.94,1129.74,1105.98,1199.83,1109.25,1002.69,1038.92,1028.43,1060.17,1200.46,1114.86,1161.49,1046.66,855.84,919.84,1242.45,1039.44
CONTROL,0.5,1030.29,1120.92,1268.11,1153.04,958.35,1103.48,841.73,891.61,1026.86,1121.4,945.39,876.11,970.53,916.32,1047.79,1239.56,936.42,982.85,1017.13,720.11,867.69,1088.12,1039.68,1051.25,1206.12,1014.96,954.26,1022.42,1092.56,957.89,1045.81,966.28,912.69,1199.1,799.87,1121.27,927.76,1002.06,1169.03,928.46,1014.82,884.34,1030.89,985.96,929.47,1043.65,1097.22,1233.75,918.61,1114.21,1099.75,978.99,1151.64,1151.55,1095.69,1024.95,955.66,1019.87,1026.85,1020.67,918.88,931.48,890.13,1014.41,826.98,1099.53,956.81,1124.99,868.17,962.79,792.31,939.4,1097.52,948.65,1125.25,809.87,1076.78,1197.12,1054.13,968.45,1080.97,1127.2,1244.9,859.71,1106.52,1129.21,1243.53,1088.05,1023.17,1058.87,1021.63,1053.53,1242.49,1068.63,1169.67,1068.99,856.39,937.99,1260.62,1050.23
CONTROL,0.6,1053.57,1127.25,1249.77,1115.32,988.32,1076.92,887.31,892.66,1079.73,1179.33,937.74,917.65,981.05,919.05,1030.35,1235.76,923.96,967.79,982.98,723.43,883.65,1018.5,1042.5,1058.78,1194.01,990.23,963.57,1033.3,1091.46,944.07,1048.02,973.36,894.78,1153.54,816.58,1134.61,974.34,946.16,1203.87,924.53,1004.31,909.6,1033.31,939.27,1104.94,1076.34,1072.41,1189.51,918.94,1109.26,1097.37,973.46,1128.19,1164.42,1075.88,1027.58,944.17,1011.68,1008.38,1025.98,938.79,925.39,929.47,1009.2,805.01,1085.13,945.61,1042.35,909.36,997.62,820.0,973.1,1102.39,964.02,1108.94,821.24,1043.08,1169.94,1087.83,944.01,1086.74,1119.22,1175.14,885.45,1154.77,1063.85,1250.59,1070.81,1014.76,1057.38,1001.09,1100.69,1245.83,1107.32,1171.71,1031.31,854.04,927.31,1207.31,1012.35
CONTROL,0.7,1049.06,1079.18,1256.31,1135.87,979.64,1083.59,887.8,863.34,1049.66,1160.32,966.35,896.42,983.11,930.84,1027.6,1243.73,953.48,994.47,997.68,713.75,868.88,1023.55,1018.65,1067.65,1168.26,989.68,985.86,1047.48,1084.76,951.21,1042.0,962.01,905.79,1161.63,771.83,1138.25,957.04,982.03,1160.79,938.39,1022.02,931.7,1036.24,972.82,1126.22,1074.73,1090.46,1199.34,915.91,1135.92,1055.06,1015.35,1157.08,1147.74,1087.11,1053.04,969.94,1031.81,1007.33,1065.87,945.46,901.37,925.27,1037.13,812.51,1091.28,1010.2,1047.56,861.86,977.76,812.46,957.57,1087.54,887.48,1143.22,806.79,1077.42,1198.75,1083.57,944.47,1027.98,1084.77,1243.5,853.54,1126.86,1081.24,1223.75,1112.11,982.3,1064.95,1017.34,1061.01,1180.27,1100.74,1159.78,1035.67,856.13,940.53,1277.88,986.45
CONTROL,0.8,1047.6,1075.4,1256.36,1105.5,989.91,1059.22,895.01,870.34,1031.45,1133.91,951.32,899.29,1004.91,936.53,1028.75,1230.51,923.32,967.41,1008.81,718.29,861.68,1018.51,1028.29,1064.31,1192.02,1001.46,993.17,1049.21,1075.53,980.79,1066.67,974.99,903.81,1185.35,767.37,1103.34,944.19,941.14,1193.23,953.42,1035.82,923.67,1027.37,993.99,1125.59,1050.33,1080.03,1205.94,892.46,1123.34,1079.43,952.13,1139.9,1223.09,1075.59,1004.74,935.75,969.27,1003.39,1029.44,964.31,915.02,971.51,1043.27,824.58,1055.15,984.32,1034.4,905.67,977.06,804.42,937.74,1086.09,963.93,1105.9,824.81,1084.92,1132.2,1074.04,928.5,1043.54,1116.98,1240.07,841.77,1180.43,1040.49,1192.19,1072.36,1003.43,1029.55,1017.65,1060.17,1220.3,1157.66,1157.43,1079.11,861.53,922.09,1291.2,1021.56
CONTROL,0.9,1042.06,1068.53,1221.53,1102.68,967.51,1095.08,864.72,904.15,1056.41,1136.24,919.78,898.95,1004.77,931.93,1001.41,1223.35,940.38,983.05,990.99,724.98,851.37,1027.05,1014.08,1041.69,1164.18,1004.45,952.12,1057.02,1076.99,935.85,1045.62,996.38,883.75,1162.15,769.44,1084.46,931.49,971.03,1224.83,928.07,1047.19,914.65,1046.82,972.03,1117.9,1122.74,1070.97,1242.47,918.51,1079.45,1043.89,997.87,1155.71,1162.41,1104.91,1025.0,952.43,995.72,976.55,1044.03,986.62,912.81,931.85,995.75,832.15,1099.22,971.58,1073.44,877.23,999.88,813.46,1000.16,1060.18,974.21,1188.69,835.16,1029.01,1179.59,1156.83,925.77,1076.84,1091.18,1266.24,851.78,1121.73,1076.37,1195.81,1092.95,1020.58,1053.82,1077.17,1071.02,1219.0,1120.41,1141.3,1081.23,880.18,953.16,1267.85,1038.88
